id,question,golden_answer,gold_context
7,What is the host of Myxidium mackiei (Myxosporea) ?,Lissemys punctata andersonii,Myxidium mackiei (Myxosporea) in Indo-Gangetic flap-shelled turtles Lissemys punctata andersonii: parasite-host interaction and ultrastructure.
8,What is the host of Balamuthia mandrillaris ?,Human,Fatal amebic encephalitis caused by Balamuthia mandrillaris in an immunocompetent host: a clinicopathological review of pathogenic free-living amebae in human hosts.
10,With what common species there are host interactions with Procyon lotor L. and Didelphis virginiana Kerr ?,Dermacentor variabilis Say,A mark-recapture study of raccoons (Procyon lotor L.) and Virginia opossums (Didelphis virginiana Kerr) was conducted from February 1991 through April 1994 to determine host interactions with adult Dermacentor variabilis Say.
13,What are the host species of ergot isolates ?,"Lolium perenne, Poa pratensis, Bromus inermis, and Secale cereale","The study consisted of 74 ergot isolates, from four different host species, Lolium perenne, Poa pratensis, Bromus inermis, and Secale cereale plus three additional Claviceps species, C. pusilla, C. paspali and C.fusiformis."
15,Which bone protein is used in archaelogy for dating and species identification?,Collagen,"Spatial variability in sulphur isotope values of archaeological and modern cod (Gadus morhua). RATIONALE: This study presents the first sulphur isotope data of modern and archaeological cod (Gadus morhua) bone collagen, undertaken to identify large-scale spatial variability of significance as both baseline values for studies of human diet and a potential variable in isotope-based studies of fish trading. METHODS: Collagen was extracted from modern and archaeological cod bones using a weak HCl solution and analysed for its sulphur isotopic composition by isotope ratio mass spectrometry (IRMS). RESULTS: The archaeological cod have sulphur isotope values ranging from +9.1‰ to +18.2‰, whereas values for modern specimens range from +14.8‰ to +18.3‰. The modern data show values implying less freshwater influence, consistent with their offshore catch locations, but also corroborate some of the regional variability evident from the archaeological evidence. CONCLUSIONS: The archaeological data have a large range of sulphur isotope values compared with the modern populations, probably indicating they were taken from a wide range of geographic locations, including both coastal and offshore locales. They show broad trends of regional difference that may relate to both the fish populations targeted (e.g. 'inshore' versus 'offshore') and the baseline values of the local ecosystem (e.g. degree of freshwater input from river systems)."
23,What is the scientific name of the North American deer mouse ?,Peromyscus maniculatus (Wagner),"The type host of the new flea is the southern red-backed vole, Myodes gapperi (Vigors) (25 flea specimens), although small numbers of specimens were also collected from a sympatric northern short-tailed shrew, Blarina brevicauda (Say) (2 fleas), a red squirrel, Tamiasciurus hudsonicus (Erxleben) (1 flea), and a North American deer mouse, Peromyscus maniculatus (Wagner) (1 flea)."
28,What is the scientific name of the grapevine downy mildew ?,Plasmopara viticola,"The causal agent of grapevine downy mildew, Plasmopara viticola, induces the synthesis of stilbenoid phytoalexins by the host, Vitis vinifera, early upon infection."
29,What are the hosts of R. grahamii ?,Leucaena leucocephala and Phaseolus vulgaris,"R. grahamii has a broad-host-range that includes Leucaena leucocephala and Phaseolus vulgaris, although it is a poor competitor for P. vulgaris nodulation in the presence of Rhizobium etli or Rhizobium phaseoli strains."
34,What is AG1-IA ?,A fusion group of Rhizoctonia solani,"Corn sheath blight, caused by AG1-IA, a fusion group of Rhizoctonia solani, which acts as a kind of necrotrophic fungal pathogen, poses a global threat to the production of Zea mays."
36,What can Nothobranchius furzeri be used as a model system for?,aging research,"Resveratrol and the pharmacology of aging: a new vertebrate model to validate an old molecule. The natural phytoalexin resveratrol, found in grapes and red wine, recently rose to public fame for its positive effects on longevity in yeasts, worms and flies. Resveratrol anti-cancer and anti-inflammatory in vitro action on mammalian cell cultures also suggest a possible positive effect on human health and life-expectancy. To study the effects of resveratrol on vertebrate aging is obviously a particularly relevant question. We have studied resveratrol effects in a very short-lived vertebrate: the annual fish Nothobranchius furzeri. Resveratrol treatment prolonged lifespan and delayed the onset of age-related dysfunctions in this fish. This result identifies resveratrol as the first molecule which consistently retards aging in organisms as diverse as yeast, worm, fly and fish, but it also reveals the potential of this short-lived fish as an animal model for pharmacological research. Moreover, being related to stickleback (Gasterosteus aculeatus) the ""pufferfishes"" Takifugu and Tetraodon, and even more closely related to medaka (Oryzias latipes), it can greatly beneficiate from the recent development of genomic resources for these fish models and in the future become a complete model system for the aging research community."
44,What is the scientific name of the pin oak ?,Quercus palustris Muenchhausen,"Pin oak, Quercus palustris Muenchhausen, is the primary host for the gall wasp Callirhytis cornigera (Osten Sacken)."
47,What are the pathogens of  Sitobion avenae and Rhopalosiphum padi ?,Pandora neoaphidis and Entomophthora planchoniana,"Pandora neoaphidis and Entomophthora planchoniana (phylum Entomophthoromycota) are important fungal pathogens on cereal aphids, Sitobion avenae and Rhopalosiphum padi."
53,What is the vernacular name of Didelphis virginiana Kerr ?,Virginia opossums,A mark-recapture study of raccoons (Procyon lotor L.) and Virginia opossums (Didelphis virginiana Kerr) was conducted from February 1991 through April 1994 to determine host interactions with adult Dermacentor variabilis Say.
60,"What is the consequence of Xylella fastidiosa infection on oleander, coffee, almond, pecan, mulberry, red maple, oak, and other types of cultivated and ornamental plants and forest trees ?",margin necrosis and leaf scorch,"Xylella fastidiosa is xylem-limited bacterium capable of infecting a wide range of host plants, resulting in Pierce's disease in grapevine, citrus variegated chlorosis, olive quick decline syndrome, peach phony disease, plum leaf scald, alfalfa dwarf, margin necrosis and leaf scorch affecting oleander, coffee, almond, pecan, mulberry, red maple, oak, and other types of cultivated and ornamental plants and forest trees."
61,What is the host of Plasmopara viticola ?,Vitis vinifera,"The causal agent of grapevine downy mildew, Plasmopara viticola, induces the synthesis of stilbenoid phytoalexins by the host, Vitis vinifera, early upon infection."
62,What is the host species for Helicobacter pylori ?,human,"Helicobacter pylori is a human pathogen, whereas the natural hosts for 'Gastrospirillum hominis' and Helicobacter felis are animals."
64,What kind of parasite is Echinocephalus pseudouncinatus ?,a nematode,"Echinocephalus pseudouncinatus n. sp, a nematode parasite of the abalone."
66,What is the host species of Leptographium qinlingensis ?,the Chinese white pine (Pinus armandi),Leptographium qinlingensis is a fungal associate of the Chinese white pine beetle (Dendroctonus armandi) and a pathogen of the Chinese white pine (Pinus armandi) that must overcome the terpenoid oleoresin defenses of host trees.
70,What is the host species of the entero-pathogenic Cystoisospora suis ?,swine,"The entero-pathogenic Cystoisospora suis, a coccidian parasite of swine and close relative to Toxoplasma gondii, undergoes development in one host-cycle."
72,Is wheat a host plant for F. acuminatum in New Zealand?,No,"However, F. acuminatum in New Zealand was found only on non-wheat hosts."
82,"In which kingdom do microsporidia belong, according to their current classification scheme?",fungi,"Microsporidia infection of the cornea--a unique and challenging disease. Microsporidia are a diverse group of obligate, intracellular, eukaryotic, spore-forming parasites. Traditionally, these were considered as protozoans but recently have been reclassified as fungi. Microsporidia behave as opportunistic pathogens causing systemic infections. In the eye, Microsporidia cause keratoconjunctivitis, corneal stromal keratitis, scleritis, and endophthalmitis. This review shares our experiences with anterior segment infections caused by this pathogen. Keratoconjunctivitis is a common form of ocular infection caused by the parasite. Although early reports described it as occurring only in immunosuppressed individuals, it can also occur in immunocompetent individuals. The disease shows a seasonal pattern with a peak incidence during the rainy season. Although several drugs have been considered, our experience suggests that keratoconjunctivitis is a self-limiting disease. In contrast to keratoconjunctivitis, stromal keratitis is an ill-defined disease. We collected 30 cases and analyzed the various aspects of this disease. Stromal keratitis is characterized by a slowly progressive course. The corneal picture resembles herpes simplex virus stromal keratitis or fungal keratitis cases, and is characterized by deep stromal infiltrates with overlying and surrounding stromal edema and keratic precipitates. The diagnosis of Microsporidia infection is confirmed by a microscopic examination of smears from patients with ulcerative keratitis or by a histopathological examination of corneal tissues. Definitive genus identification requires the examination of specimens by electron microscopy or by molecular methods. In the absence of a definitive medical treatment, nearly all patients require surgical treatment. The confusion regarding Microsporidia is not only limited to their classification but also extends to various aspects of the corneal disease caused by them."
83,"What are the two major parasitoids of diamondback moth, Plutella xylostella ?",Cotesia plutellae and Oomyzus sokolowskii,"[Interspecific interactions between Cotesia plutellae and Oomyzus sokolowskii, two major parasitoids of diamondback moth, Plutella xylostella]."
87,"What species is one of the dinoflagellate symbionts of Anthopleura elegantissima, A. xanthogrammica and A. sola ?",Symbiodinium californium,"Symbiodinium californium (#383, Banaszak et¬†al. 1993) is one of two known dinoflagellate symbionts of the intertidal sea anemones Anthopleura elegantissima, A. xanthogrammica, and A. sola and occurs only in hosts at southern latitudes of the North Pacific."
88,What kind of parasite is Entamoeba histolytica ?,protozoan parasite,"Entamoeba histolytica is a protozoan parasite that causes amoebiasis in humans; as the infection occurs mainly in the intestinal epithelium, the secretory immune response of the host could have an influence on the outcome."
89,What is the scientific name of the red squirrel ?,Tamiasciurus hudsonicus (Erxleben),"The type host of the new flea is the southern red-backed vole, Myodes gapperi (Vigors) (25 flea specimens), although small numbers of specimens were also collected from a sympatric northern short-tailed shrew, Blarina brevicauda (Say) (2 fleas), a red squirrel, Tamiasciurus hudsonicus (Erxleben) (1 flea), and a North American deer mouse, Peromyscus maniculatus (Wagner) (1 flea)."
98,What are the insect hosts of Xenorhabdus nematophila ?,Manduca sexta or Drosophila melanogaster,"In the insect pathogen Xenorhabdus nematophila, the global transcription factor Lrp is necessary for virulence when injected into Manduca sexta or Drosophila melanogaster insect hosts."
108,Which is the causative agent of malaria?,Plasmodium spp.,"Critical roles of the mitochondrial complex II in oocyst formation of rodent malaria parasite Plasmodium berghei. It is generally accepted that the mitochondria play central roles in energy production of most eukaryotes. In contrast, it has been thought that Plasmodium spp., the causative agent of malaria, rely mainly on cytosolic glycolysis but not mitochondrial oxidative phosphorylation for energy production during blood stages. However, Plasmodium spp. possesses all genes necessary for the tricarboxylic acid (TCA) cycle and most of the genes for electron transport chain (ETC) enzymes. Therefore, it remains elusive whether oxidative phosphorylation is essential for the parasite survival. To elucidate the role of TCA metabolism and ETC in malaria parasites, we deleted the gene for flavoprotein (Fp) subunit, Pbsdha, one of four components of complex II, a catalytic subunit for succinate dehydrogenase activity. The Pbsdha(-) parasite grew normally at blood stages in mouse. In contrast, ookinete formation of Pbsdha(-) parasites in the mosquito stage was severely impaired. Finally, Pbsdha(-) ookinetes failed in oocyst formation, leading to complete malaria transmission blockade. These results suggest that malaria parasite may switch the energy metabolism from glycolysis to oxidative phosphorylation to adapt to the insect vector where glucose is not readily available for ATP production."
115,Which is the most known bacterium responsible for botulism (sausage-poisoning)?,Clostridium botulinum,"A monoclonal antibody based capture ELISA for botulinum neurotoxin serotype B: toxin detection in food. Botulism is a serious foodborne neuroparalytic disease, caused by botulinum neurotoxin (BoNT), produced by the anaerobic bacterium Clostridium botulinum. Seven toxin serotypes (A-H) have been described. The majority of human cases of botulism are caused by serotypes A and B followed by E and F. We report here a group of serotype B specific monoclonal antibodies (mAbs) capable of binding toxin under physiological conditions. Thus, they serve as capture antibodies for a sandwich (capture) ELISA. The antibodies were generated using recombinant peptide fragments corresponding to the receptor-binding domain of the toxin heavy chain as immunogen. Their binding properties suggest that they bind a complex epitope with dissociation constants (KD's) for individual antibodies ranging from 10 to 48 × 10-11 M. Assay performance for all possible combinations of capture-detector antibody pairs was evaluated and the antibody pair resulting in the lowest level of detection (L.O.D.), ~20 pg/mL was determined. Toxin was detected in spiked dairy samples with good recoveries at concentrations as low as 0.5 pg/mL and in ground beef samples at levels as low as 2 ng/g. Thus, the sandwich ELISA described here uses mAb for both the capture and detector antibodies (binding different epitopes on the toxin molecule) and readily detects toxin in those food samples tested."
117,What is the composition of the mixture used to grown cabbage and strawberry plants ?,soil and CNF with optimized specification,"Cabbage and strawberry plants, which were grown in a mixture of soil and CNF with optimized specification, challenged with fungal pathogens showed a reduction in the number of spots caused by Alternaria brassicicola and lesion size by Colletotrichum fructicola, respectively."
125,What is the host species of Neisseria gonorrhoeae. and Neisseria meningitidis ?,human,"While¬†Neisseria gonorrhoeae¬†and¬†Neisseria¬†meningitidis¬†are human-restricted pathogens, non-pathogenic¬†Neisseria¬†species like¬†Neisseria sicca,¬†Neisseria perflava, etc.,¬†are primarily commensals that can also behave as opportunistic pathogens."
131,What is the host of Serratia marcescens ?,human,Virulence factors of the human opportunistic pathogen Serratia marcescens identified by in vivo screening.
133,What is the common name of Centropomus undecimalis ?,The common snook,"The common snook, Centropomus undecimalis, was infected with Rhabdosynochus rhabdosynochus (30 of 37 infected; prevalence 81%), Rhabdosynochus hargisi (9 of 37; 24%), and Rhabdosynochus hudsoni (20 of 37; 46%); the fat snook, Centropomus parallelus, with R. rhabdosynochus (12 of 22; 55%) and R. hudsoni (8 of 22; 36%) (new host records for both); and the tarpon snook, Centropomus pectinatus, with R. hudsoni (3 of 4; 75%) (new host record)."
141,What are the final hosts of Sarcocystis hirsuta ?,wild and domestic cats,"The cattle is intermediate host for Sarcocystis hominis (final host, humans and some primates), Sarcocystis cruzi (final host, domestic and wild canids), and Sarcocystis hirsuta (final host, wild and domestic cats).All these three species of Sarcocystis were identified, variously associated, with the following prevalence: S. cruzi (74.2%), S. hirsuta (1.8%), and S. hominis (42.7%)."
142,What species are two native pupal parasitoids ?,Pachycrepoideus vindemmiae and Trichopria drosophilae,"We investigated the potential of two native pupal parasitoids, Pachycrepoideus vindemmiae and Trichopria drosophilae, to increase their developmental success on the invasive Drosophila suzukii. Replicated populations of the two parasitoids were subjected to 10 generations of laboratory selection on D.¬†suzukii with Drosophila melanogaster serving as the co-evolved host."
147,What is the Drosophila melanogaster Groucho protein?,Groucho (Gro) is a Drosophila melanogaster transcriptional corepressor,"Groucho-mediated repression may result from a histone deacetylase-dependent increase in nucleosome density. Groucho (Gro) is a Drosophila melanogaster transcriptional corepressor that directly interacts with the histone deacetylase Rpd3. Although previous studies suggest that this interaction is required for repression of Gro-responsive reporters in cultured cells, the in vivo significance of this interaction and the mechanism by which it leads to repression remain largely unexplored. In this study, we show that Gro is partially dependent on Rpd3 for repression, supporting the idea that Rpd3-mediated repression is one mode of Gro-mediated repression. We demonstrate that Gro colocalizes with Rpd3 to the chromatin of a target gene and that this is accompanied by the deacetylation of specific lysines within the N-terminal tails of histones H3 and H4. Gro overexpression leads to wing patterning defects and ectopic repression in the wing disc of transcription directed by the vestigial quadrant enhancer. These effects are reversed by the histone deacetylase inhibitors TSA and HC-Toxin and by the reduction of Rpd3 gene dosage. Furthermore, repression of the vestigial quadrant enhancer is accompanied by a Gro-mediated increase in nucleosome density, an effect that is reversed by histone deacetylase inhibitors. We propose a model in which Gro-mediated histone deacetylation results in increased nucleosome density leading to transcriptional repression."
148,What is the common name of the trygonorrhina fasciata (Rhinobatidae) ?,The southern fiddler ray,"The southern fiddler ray, Trygonorrhina fasciata (Rhinobatidae), is parasitized by 3 monogenean (platyhelminth) species from 3 families on 3 different sites of the host: Calicotyle australis (Monocotylidae) from the cloaca, Pseudoleptobothrium aptychotremae (Microbothriidae) from the skin and Branchotenthes octohamatus (Hexabothriidae) from the gills."
154,What is the primary host species for M. gallisepticum ?,the house finch,"Though the house finch is the primary host species for M. gallisepticum, the American goldfinch (Spinus tristis) and northern cardinal (Cardinalis cardinalis) are alternate hosts, and laboratory experiments have demonstrated M. gallisepticum transmission between house finches and goldfinches."
157,What causes corn sheath blight ?,AG1-IA,"Corn sheath blight, caused by AG1-IA, a fusion group of Rhizoctonia solani, which acts as a kind of necrotrophic fungal pathogen, poses a global threat to the production of Zea mays."
160,What is the host of Xenorhabdus ehlersii KSY ?,Steinernema longicaudum GNUS101,"Identification of an entomopathogenic bacterium, Xenorhabdus ehlersii KSY, from Steinernema longicaudum GNUS101 and its immunosuppressive activity against insect host by inhibiting eicosanoid biosynthesis."
167,How many genera comprise the Flaviviridae family?,three,"5-acetyl-2-arylbenzimidazoles as antiviral agents. Part 4. Within a project aimed at discovering new Flaviviridae inhibitors, new variously substituted 2-phenylbenzimidazoles were synthesized and evaluated in cell-based assays for cytotoxicity and antiviral activity against viruses representatives of the three genera of the Flaviviridae family, i.e.: Pestivirus (BVDV), Flavivirus (YFV) and Hepacivirus (HCV). Title compounds were also tested against RNA viruses representative of other single-stranded, positive-sense (ssRNA(+)) negative-sense (RNA(-)), or double-stranded (dsRNA) genomes, as well as against representatives of two DNA virus families. Nine compounds showed activity against BVDV (EC(50) = 0.8-8.0 μM), compound 31 being the most potent (EC(50) = 0.80 μM) and selective (SI = CC(50)/EC(50) = >100). When tested in an HCV replicon assay, compound 31 resulted again the most potent, displaying an EC(50) value of 1.11 μM and an SI of 100. Besides inhibiting BVDV, two compounds (35 and 38) showed a moderate activity also against YFV (EC(50) = 13 μM). Interestingly, 35 was moderately active also against RSV (EC(50) = 25 μM)."
170,What is the host of the actinomycete Corynebacterium amycolatum ?,Human,"The actinomycete Corynebacterium amycolatum is a saprophytic bacterium usually associated with the human skin, but it is at present considered an emergent pathogen as it is isolated from nosocomial settings from samples of immunosuppressed patients."
177,Which is the vector of Louping ill virus?,Ixodes ricinus,"An alternative to killing? Treatment of reservoir hosts to control a vector and pathogen in a susceptible species. Parasite-mediated apparent competition occurs when one species affects another through the action of a shared parasite. One way of controlling the parasite in the more susceptible host is to manage the reservoir host. Culling can cause issues in terms of ethics and biodiversity impacts, therefore we ask: can treating, as compared to culling, a wildlife host protect a target species from the shared parasite? We used Susceptible Infected Recovered (SIR) models parameterized for the tick-borne louping ill virus (LIV) system. Deer are the key hosts of the vector (Ixodes ricinus) that transmits LIV to red grouse Lagopus lagopus scoticus, causing high mortality. The model was run under scenarios of varying acaricide efficacy and deer densities. The model predicted that treating deer can increase grouse density through controlling ticks and LIV, if acaricide efficacies are high and deer densities low. Comparing deer treated with 70% acaricide efficacy with a 70% cull rate suggested that treatment may be more effective than culling if initial deer densities are high. Our results will help inform tick control policies, optimize the targeting of control methods and identify conditions where host management is most likely to succeed. Our approach is applicable to other host-vector-pathogen systems."
182,What are the alternate hosts species for M. gallisepticum ?,the American goldfinch (Spinus tristis) and northern cardinal (Cardinalis cardinalis),"Though the house finch is the primary host species for M. gallisepticum, the American goldfinch (Spinus tristis) and northern cardinal (Cardinalis cardinalis) are alternate hosts, and laboratory experiments have demonstrated M. gallisepticum transmission between house finches and goldfinches."
183,What is the species of trematodes found into infected birds ?,Catatropis verrucosa,"In infected birds there were found 4 species of trematodes: one of them, Catatropis verrucosa is in Poland new for Cygnus olor; 9 species of cestodes--7 of them are in Poland new for examined hosts; namely: Drepanidotaenia lanceolata for Dendrocygna viduata, Cygnus atratus, Branta bernicla, and Anas platyrhynchos; Microsomacanthus paracompressus for Cygnus olor; Dicranotaenia coronula for Chloephaga picta and Cairina moschata; Cloacotaenia megalops for Branta bernicla, Tschertkovilepis setigera for Cygnus olor, Anser indicus, Branta bernicla and Anas platyrhynchos; Fimbriaria fasciolaris for Cygnus olor and Chloephaga picta; Sobolevicanthus gracilis for Cygnus atratus, Chloephaga picta and Tadorna tadorna; 13 species of nematodes--7 of them are in Poland new for examined hosts, namely: Cyathostoma variegatum for Cygnus atratus, Anser indicus and Anser caerulescens; Syngamus trachea for Anser indicus; Echinuria uncinata for Anser indicus; Ganguleterakis dispar for Cgynus melanocoryphus, Cgynus olor and Anser caerulescens; Pterothominx caudinflata for Anser indicus; Amidostomum ansersis for Cygnus olor and Branta bernicla; Capillaria anatis for Anas acuta."
184,What are the predominant species of vaginal microbiota ?,Lactobacillus iners and Lactobacillus crispatus,"METHODS To investigate host-vaginal microbiota interactions and the impact on immune barrier function, we colonized 3-dimensional (3-D) human vaginal epithelial cells with 2 predominant species of vaginal microbiota (Lactobacillus iners and Lactobacillus crispatus) or 2 prevalent bacteria associated with bacterial vaginosis (Atopobium vaginae and Prevotella bivia)."
189,"What is the host of Heterophyopsis continua, Pygidiopsis summa and Heterophyes heterophyes nocens ?",domestic cats,"In the results, three kinds of trematodes of family Heterophyidae (Ohdner, 1914) were obtained from small intesine of domestic cats and identified as follows: five adult worms of Heterophyopsis continua (Onji et Nishio, 1916) from three hosts, two hundreds and twenty three adult worms of Pygidiopsis summa Onji et Nishio, 1916 from seven hosts and twenty six adult worms of Heterophyes heterophyes nocens (Onji et Nishio, 1916) from three hosts."
192,What is the predator of Oncorhynchus spp. ?,Orcinus orca,Fine-scale foraging movements by fish-eating killer whales (Orcinus orca) relate to the vertical distributions and escape responses of salmonid prey (Oncorhynchus spp.).
196,What is the common name of Centropomus parallelus ?,the fat snook,"The common snook, Centropomus undecimalis, was infected with Rhabdosynochus rhabdosynochus (30 of 37 infected; prevalence 81%), Rhabdosynochus hargisi (9 of 37; 24%), and Rhabdosynochus hudsoni (20 of 37; 46%); the fat snook, Centropomus parallelus, with R. rhabdosynochus (12 of 22; 55%) and R. hudsoni (8 of 22; 36%) (new host records for both); and the tarpon snook, Centropomus pectinatus, with R. hudsoni (3 of 4; 75%) (new host record)."
197,What is the parasite species of Peromyscus leucopus ?,Dermacentor variabilis ticks,Chemical attraction of Dermacentor variabilis ticks parasitic to Peromyscus leucopus based on host body mass and sex.
202,What is the host of Echinocephalus pseudouncinatus ?,The abalone,"Echinocephalus pseudouncinatus n. sp, a nematode parasite of the abalone."
207,What is the effect of Entamoeba histolytica in humans ?,amoebiasis,"Entamoeba histolytica is a protozoan parasite that causes amoebiasis in humans; as the infection occurs mainly in the intestinal epithelium, the secretory immune response of the host could have an influence on the outcome."
209,What type of study has shown evidence of host interaction between raccoons and Dermacentor variabilis Say ?,A mark-recapture study,A mark-recapture study of raccoons (Procyon lotor L.) and Virginia opossums (Didelphis virginiana Kerr) was conducted from February 1991 through April 1994 to determine host interactions with adult Dermacentor variabilis Say.
210,What is the primary host for Callirhytis cornigera ?,Quercus palustris Muenchhausen,"Pin oak, Quercus palustris Muenchhausen, is the primary host for the gall wasp Callirhytis cornigera (Osten Sacken)."
215,What species is the host of Oropsylla montana and Hoplopsyllus anomalous ?,Otospermophilus beecheyi,"Two species of fleas (Oropsylla montana and Hoplopsyllus anomalous) and their hosts, California ground squirrels (Otospermophilus beecheyi), form a major complex for amplifying epizootic plague in the western United States."
217,What species is an host of Pseudomonas aeruginosa Y12 ?,Musca domestica,Negative Impact of Pseudomonas aeruginosa Y12 on Its Host Musca domestica.
220,What are the common names of the ectoparasite Pthirus pubis (PtP) ?,crab or pubic louse,"The ectoparasite Pthirus pubis (PtP), commonly known as the crab or pubic louse, has plagued primates from prehistoric apes to Homo sapiens."
221,What are the pathogens of Centropomus pectinatus ?,R. hudsoni,"The common snook, Centropomus undecimalis, was infected with Rhabdosynochus rhabdosynochus (30 of 37 infected; prevalence 81%), Rhabdosynochus hargisi (9 of 37; 24%), and Rhabdosynochus hudsoni (20 of 37; 46%); the fat snook, Centropomus parallelus, with R. rhabdosynochus (12 of 22; 55%) and R. hudsoni (8 of 22; 36%) (new host records for both); and the tarpon snook, Centropomus pectinatus, with R. hudsoni (3 of 4; 75%) (new host record)."
222,What is the prey of Orcinus orca ?,Oncorhynchus spp.,Fine-scale foraging movements by fish-eating killer whales (Orcinus orca) relate to the vertical distributions and escape responses of salmonid prey (Oncorhynchus spp.).
225,What are species from the abundant rodent genera ?,"Apodemus, Microtus and Myodes","We address this issue by analyzing phylogeny and population genetics of an extensive sample, from a broad geographic area, for commonly occurring parasites of the genus Eimeria within the abundant rodent genera Apodemus, Microtus and Myodes, using two molecular markers."
227,Which database is available for the identification of chorion proteins in Lepidopteran proteomes?,LepChorionDB,"LepChorionDB, a database of Lepidopteran chorion proteins and a set of tools useful for the identification of chorion proteins in Lepidopteran proteomes. Chorion proteins of Lepidoptera have a tripartite structure, which consists of a central domain and two, more variable, flanking arms. The central domain is highly conserved and it is used for the classification of chorion proteins into two major classes, A and B. Annotated and unreviewed Lepidopteran chorion protein sequences are available in various databases. A database, named LepChorionDB, was constructed by searching 5 different protein databases using class A and B central domain-specific profile Hidden Markov Models (pHMMs), developed in this work. A total of 413 Lepidopteran chorion proteins from 9 moths and 1 butterfly species were retrieved. These data were enriched and organised in order to populate LepChorionDB, the first relational database, available on the web, containing Lepidopteran chorion proteins grouped in A and B classes. LepChorionDB may provide insights in future functional and evolutionary studies of Lepidopteran chorion proteins and thus, it will be a useful tool for the Lepidopteran scientific community and Lepidopteran genome annotators, since it also provides access to the two pHMMs developed in this work, which may be used to discriminate A and B class chorion proteins. LepChorionDB is freely available at http://bioinformatics.biol.uoa.gr/LepChorionDB."
230,What is the scientific name of the sympatric northern short-tailed shrew ?,Blarina brevicauda (Say),"The type host of the new flea is the southern red-backed vole, Myodes gapperi (Vigors) (25 flea specimens), although small numbers of specimens were also collected from a sympatric northern short-tailed shrew, Blarina brevicauda (Say) (2 fleas), a red squirrel, Tamiasciurus hudsonicus (Erxleben) (1 flea), and a North American deer mouse, Peromyscus maniculatus (Wagner) (1 flea)."
232,What are the bacteria associated with bacterial vaginosis ?,Atopobium vaginae and Prevotella bivia,"METHODS To investigate host-vaginal microbiota interactions and the impact on immune barrier function, we colonized 3-dimensional (3-D) human vaginal epithelial cells with 2 predominant species of vaginal microbiota (Lactobacillus iners and Lactobacillus crispatus) or 2 prevalent bacteria associated with bacterial vaginosis (Atopobium vaginae and Prevotella bivia)."
238,What is the common name of Centropomus pectinatus ?,the tarpon snook,"The common snook, Centropomus undecimalis, was infected with Rhabdosynochus rhabdosynochus (30 of 37 infected; prevalence 81%), Rhabdosynochus hargisi (9 of 37; 24%), and Rhabdosynochus hudsoni (20 of 37; 46%); the fat snook, Centropomus parallelus, with R. rhabdosynochus (12 of 22; 55%) and R. hudsoni (8 of 22; 36%) (new host records for both); and the tarpon snook, Centropomus pectinatus, with R. hudsoni (3 of 4; 75%) (new host record)."
239,What is a close parent species of the entero-pathogenic Cystoisospora suis ?,Toxoplasma gondii,"The entero-pathogenic Cystoisospora suis, a coccidian parasite of swine and close relative to Toxoplasma gondii, undergoes development in one host-cycle."
249,What is the host of V. parahaemolyticus ?,Human,The global occurrence of V. parahaemolyticus accentuates the importance of investigating its virulence factors and their effects on the human host.
251,What kind of approach is used to understand the molecular bases of the host immune response to parasitoid attack ?,Proteomic approach,"In order to understand the molecular bases of the host immune response to parasitoid attack, we explored the response of Papilio xuthus parasitized by the endoparasitic wasp Pteromalus puparum using proteomic approach."
252,What is the vernacular name of Procyon lotor L. ?,raccoons,A mark-recapture study of raccoons (Procyon lotor L.) and Virginia opossums (Didelphis virginiana Kerr) was conducted from February 1991 through April 1994 to determine host interactions with adult Dermacentor variabilis Say.
254,What are the final hosts of Sarcocystis cruzi ?,domestic and wild canids,"The cattle is intermediate host for Sarcocystis hominis (final host, humans and some primates), Sarcocystis cruzi (final host, domestic and wild canids), and Sarcocystis hirsuta (final host, wild and domestic cats).All these three species of Sarcocystis were identified, variously associated, with the following prevalence: S. cruzi (74.2%), S. hirsuta (1.8%), and S. hominis (42.7%)."
